Team,G,MP-Total,FGM-Total,FGA-Total,FG%-Total,3PM-Total,3PA-Total,3P%-Total,2PM-Total,2PA-Total,2P%-Total,FTM-Total,FTA-Total,FT%-Total,ORB-Total,DRB-Total,TRB-Total,AST-Total,STL-Total,BLK-Total,TOV-Total,PF-Total,PTS-Total,Team2,G2,MP-PG,FGM-PG,FGA-PG,FG%-PG,3PM-PG,3PA-PG,3P%-PG,2PM-PG,2PA-PG,2P%-PG,FTM-PG,FTA-PG,FT%-PG,ORB-PG,DRB-PG,TRB-PG,AST-PG,STL-PG,BLK-PG,TOV-PG,PF-PG,PTS-PG
Golden State Warriors*,82,19880,3489,7159,.487,1077,2592,.416,2412,4567,.528,1366,1790,.763,816,2972,3788,2373,689,498,1245,1701,9421,Golden State Warriors*,82,242.4,42.5,87.3,.487,13.1,31.6,.416,29.4,55.7,.528,16.7,21.8,.763,10.0,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9
Oklahoma City Thunder*,82,19830,3372,7082,.476,678,1945,.349,2694,5137,.524,1616,2067,.782,1071,2916,3987,1883,603,487,1305,1691,9038,Oklahoma City Thunder*,82,241.8,41.1,86.4,.476,8.3,23.7,.349,32.9,62.6,.524,19.7,25.2,.782,13.1,35.6,48.6,23.0,7.4,5.9,15.9,20.6,110.2
Sacramento Kings,82,19805,3283,7083,.464,660,1839,.359,2623,5244,.500,1514,2089,.725,868,2760,3628,2009,733,368,1326,1676,8740,Sacramento Kings,82,241.5,40.0,86.4,.464,8.0,22.4,.359,32.0,64.0,.500,18.5,25.5,.725,10.6,33.7,44.2,24.5,8.9,4.5,16.2,20.4,106.6
Houston Rockets*,82,19830,3094,6847,.452,878,2533,.347,2216,4314,.514,1671,2407,.694,930,2601,3531,1821,821,430,1307,1790,8737,Houston Rockets*,82,241.8,37.7,83.5,.452,10.7,30.9,.347,27.0,52.6,.514,20.4,29.4,.694,11.3,31.7,43.1,22.2,10.0,5.2,15.9,21.8,106.5
Boston Celtics*,82,19780,3216,7318,.439,717,2142,.335,2499,5176,.483,1520,1929,.788,950,2733,3683,1981,752,348,1127,1796,8669,Boston Celtics*,82,241.2,39.2,89.2,.439,8.7,26.1,.335,30.5,63.1,.483,18.5,23.5,.788,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7
Portland Trail Blazers*,82,19805,3167,7040,.450,864,2336,.370,2303,4704,.490,1424,1889,.754,948,2782,3730,1748,562,380,1200,1782,8622,Portland Trail Blazers*,82,241.5,38.6,85.9,.450,10.5,28.5,.370,28.1,57.4,.490,17.4,23.0,.754,11.6,33.9,45.5,21.3,6.9,4.6,14.6,21.7,105.1
Los Angeles Clippers*,82,19830,3141,6759,.465,797,2190,.364,2344,4569,.513,1490,2152,.692,721,2727,3448,1873,709,460,1063,1746,8569,Los Angeles Clippers*,82,241.8,38.3,82.4,.465,9.7,26.7,.364,28.6,55.7,.513,18.2,26.2,.692,8.8,33.3,42.0,22.8,8.6,5.6,13.0,21.3,104.5
Cleveland Cavaliers*,82,19855,3171,6888,.460,880,2428,.362,2291,4460,.514,1333,1783,.748,873,2777,3650,1861,551,317,1114,1666,8555,Cleveland Cavaliers*,82,242.1,38.7,84.0,.460,10.7,29.6,.362,27.9,54.4,.514,16.3,21.7,.748,10.6,33.9,44.5,22.7,6.7,3.9,13.6,20.3,104.3
Washington Wizards,82,19755,3238,7033,.460,709,1983,.358,2529,5050,.501,1349,1849,.730,743,2688,3431,2005,708,323,1186,1708,8534,Washington Wizards,82,240.9,39.5,85.8,.460,8.6,24.2,.358,30.8,61.6,.501,16.5,22.5,.730,9.1,32.8,41.8,24.5,8.6,3.9,14.5,20.8,104.1
San Antonio Spurs*,82,19705,3289,6797,.484,570,1518,.375,2719,5279,.515,1342,1672,.803,770,2831,3601,2010,677,485,1071,1433,8490,San Antonio Spurs*,82,240.3,40.1,82.9,.484,7.0,18.5,.375,33.2,64.4,.515,16.4,20.4,.803,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5,103.5
Charlotte Hornets*,82,19855,3036,6922,.439,873,2410,.362,2163,4512,.479,1534,1941,.790,734,2869,3603,1778,595,438,1030,1487,8479,Charlotte Hornets*,82,242.1,37.0,84.4,.439,10.6,29.4,.362,26.4,55.0,.479,18.7,23.7,.790,9.0,35.0,43.9,21.7,7.3,5.3,12.6,18.1,103.4
Atlanta Hawks*,82,19830,3168,6923,.458,815,2326,.350,2353,4597,.512,1282,1638,.783,679,2772,3451,2100,747,486,1226,1570,8433,Atlanta Hawks*,82,241.8,38.6,84.4,.458,9.9,28.4,.350,28.7,56.1,.512,15.6,20.0,.783,8.3,33.8,42.1,25.6,9.1,5.9,15.0,19.1,102.8
New Orleans Pelicans,82,19780,3153,7040,.448,702,1951,.360,2451,5089,.482,1415,1823,.776,782,2712,3494,1818,633,342,1102,1713,8423,New Orleans Pelicans,82,241.2,38.5,85.9,.448,8.6,23.8,.360,29.9,62.1,.482,17.3,22.2,.776,9.5,33.1,42.6,22.2,7.7,4.2,13.4,20.9,102.7
Toronto Raptors*,82,19780,3006,6669,.451,708,1915,.370,2298,4754,.483,1702,2190,.777,836,2724,3560,1536,636,449,1073,1610,8422,Toronto Raptors*,82,241.2,36.7,81.3,.451,8.6,23.4,.370,28.0,58.0,.483,20.8,26.7,.777,10.2,33.2,43.4,18.7,7.8,5.5,13.1,19.6,102.7
Minnesota Timberwolves,82,19880,3095,6668,.464,455,1347,.338,2640,5321,.496,1753,2213,.792,821,2587,3408,1916,656,375,1231,1696,8398,Minnesota Timberwolves,82,242.4,37.7,81.3,.464,5.5,16.4,.338,32.2,64.9,.496,21.4,27.0,.792,10.0,31.5,41.6,23.4,8.0,4.6,15.0,20.7,102.4
Dallas Mavericks*,82,20005,3064,6900,.444,806,2342,.344,2258,4558,.495,1454,1831,.794,751,2781,3532,1813,560,306,1047,1595,8388,Dallas Mavericks*,82,244.0,37.4,84.1,.444,9.8,28.6,.344,27.5,55.6,.495,17.7,22.3,.794,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5,102.3
Indiana Pacers*,82,19880,3142,6985,.450,663,1889,.351,2479,5096,.486,1430,1872,.764,847,2779,3626,1741,742,391,1219,1641,8377,Indiana Pacers*,82,242.4,38.3,85.2,.450,8.1,23.0,.351,30.2,62.1,.486,17.4,22.8,.764,10.3,33.9,44.2,21.2,9.0,4.8,14.9,20.0,102.2
Orlando Magic,82,19905,3242,7120,.455,636,1818,.350,2606,5302,.492,1249,1649,.757,843,2709,3552,1933,673,417,1155,1701,8369,Orlando Magic,82,242.7,39.5,86.8,.455,7.8,22.2,.350,31.8,64.7,.492,15.2,20.1,.757,10.3,33.0,43.3,23.6,8.2,5.1,14.1,20.7,102.1
Detroit Pistons*,82,19880,3111,7087,.439,740,2148,.345,2371,4939,.480,1399,2095,.668,1021,2777,3798,1594,573,304,1110,1557,8361,Detroit Pistons*,82,242.4,37.9,86.4,.439,9.0,26.2,.345,28.9,60.2,.480,17.1,25.5,.668,12.5,33.9,46.3,19.4,7.0,3.7,13.5,19.0,102.0
Denver Nuggets,82,19830,3093,7003,.442,656,1943,.338,2437,5060,.482,1513,1974,.766,941,2718,3659,1858,609,395,1202,1723,8355,Denver Nuggets,82,241.8,37.7,85.4,.442,8.0,23.7,.338,29.7,61.7,.482,18.5,24.1,.766,11.5,33.1,44.6,22.7,7.4,4.8,14.7,21.0,101.9
Chicago Bulls,82,19905,3165,7170,.441,651,1753,.371,2514,5417,.464,1354,1720,.787,907,2889,3796,1870,495,470,1141,1545,8335,Chicago Bulls,82,242.7,38.6,87.4,.441,7.9,21.4,.371,30.7,66.1,.464,16.5,21.0,.787,11.1,35.2,46.3,22.8,6.0,5.7,13.9,18.8,101.6
Phoenix Suns,82,19705,3051,7018,.435,738,2118,.348,2313,4900,.472,1431,1905,.751,943,2733,3676,1701,632,313,1410,1858,8271,Phoenix Suns,82,240.3,37.2,85.6,.435,9.0,25.8,.348,28.2,59.8,.472,17.5,23.2,.751,11.5,33.3,44.8,20.7,7.7,3.8,17.2,22.7,100.9
Miami Heat*,82,19830,3150,6697,.470,498,1480,.336,2652,5217,.508,1406,1889,.744,807,2811,3618,1709,553,531,1155,1502,8204,Miami Heat*,82,241.8,38.4,81.7,.470,6.1,18.0,.336,32.3,63.6,.508,17.1,23.0,.744,9.8,34.3,44.1,20.8,6.7,6.5,14.1,18.3,100.0
Memphis Grizzlies*,82,19830,3019,6859,.440,504,1521,.331,2515,5338,.471,1584,2024,.783,916,2497,3413,1697,724,350,1090,1783,8126,Memphis Grizzlies*,82,241.8,36.8,83.6,.440,6.1,18.5,.331,30.7,65.1,.471,19.3,24.7,.783,11.2,30.5,41.6,20.7,8.8,4.3,13.3,21.7,99.1
Milwaukee Bucks,82,19830,3145,6740,.467,440,1277,.345,2705,5463,.495,1392,1863,.747,858,2559,3417,1895,672,475,1247,1695,8122,Milwaukee Bucks,82,241.8,38.4,82.2,.467,5.4,15.6,.345,33.0,66.6,.495,17.0,22.7,.747,10.5,31.2,41.7,23.1,8.2,5.8,15.2,20.7,99.0
Brooklyn Nets,82,19755,3136,6920,.453,531,1508,.352,2605,5412,.481,1286,1699,.757,863,2614,3477,1829,627,332,1212,1476,8089,Brooklyn Nets,82,240.9,38.2,84.4,.453,6.5,18.4,.352,31.8,66.0,.481,15.7,20.7,.757,10.5,31.9,42.4,22.3,7.6,4.0,14.8,18.0,98.6
New York Knicks,82,19805,3022,6886,.439,610,1762,.346,2412,5124,.471,1411,1753,.805,850,2788,3638,1682,467,466,1099,1616,8065,New York Knicks,82,241.5,36.9,84.0,.439,7.4,21.5,.346,29.4,62.5,.471,17.2,21.4,.805,10.4,34.0,44.4,20.5,5.7,5.7,13.4,19.7,98.4
Utah Jazz,82,19955,2957,6593,.449,694,1956,.355,2263,4637,.488,1402,1885,.744,880,2665,3545,1555,631,425,1224,1655,8010,Utah Jazz,82,243.4,36.1,80.4,.449,8.5,23.9,.355,27.6,56.5,.488,17.1,23.0,.744,10.7,32.5,43.2,19.0,7.7,5.2,14.9,20.2,97.7
Philadelphia 76ers,82,19805,2970,6887,.431,764,2255,.339,2206,4632,.476,1284,1850,.694,777,2605,3382,1765,680,495,1343,1780,7988,Philadelphia 76ers,82,241.5,36.2,84.0,.431,9.3,27.5,.339,26.9,56.5,.476,15.7,22.6,.694,9.5,31.8,41.2,21.5,8.3,6.0,16.4,21.7,97.4
Los Angeles Lakers,82,19730,2880,6956,.414,639,2016,.317,2241,4940,.454,1583,2028,.781,878,2645,3523,1478,593,337,1124,1662,7982,Los Angeles Lakers,82,240.6,35.1,84.8,.414,7.8,24.6,.317,27.3,60.2,.454,19.3,24.7,.781,10.7,32.3,43.0,18.0,7.2,4.1,13.7,20.3,97.3
League Average,82,19828,3136,6935,.452,698,1975,.354,2437,4960,.491,1450,1916,.757,854,2734,3588,1828,643,406,1179,1662,8419,League Average,82,241.8,38.2,84.6,.452,8.5,24.1,.354,29.7,60.5,.491,17.7,23.4,.757,10.4,33.3,43.8,22.3,7.8,5.0,14.4,20.3,102.7
